,Date,Percent_Change,SMA_10,SMA_20,EMA_10
0,2021-01-04,9.331684530070234,,,9.331684530070234
1,2021-01-11,16.92569381815789,,,10.712413491540715
2,2021-01-19,7.108787348738782,,,10.057208738304
3,2021-01-25,52.72609863911656,,,17.81518872026992
4,2021-02-01,5.415221575818235,,,15.560649239460522
5,2021-02-08,24.03644520754439,,,17.101703051839404
6,2021-02-16,4.541953392155512,,,14.818112204624152
7,2021-02-22,-7.8171536429914905,,,10.70260932323949
8,2021-03-01,8.708023909938666,,,10.339957429912067
9,2021-03-08,1.693521740614668,12.267027651916344,,8.767878213676175
10,2021-03-15,-3.6812968706825346,10.965729511841067,,6.504391834701863
11,2021-03-22,-9.12236834313735,8.360923295711542,,3.6631627114583702
12,2021-03-29,0.909093628117375,7.7409539236494025,,3.1624228781236434
13,2021-04-05,1.383286993608841,2.6066727590986316,,2.838943626393679
14,2021-04-12,1.8791034486741858,2.2530609463842266,,2.6644272304446805
15,2021-04-19,2.6209545297508905,0.11151187860487673,,2.656523103045809
16,2021-04-26,2.7270017030326708,-0.0699832903074074,,2.669337393952511
17,2021-05-03,3.301148252386379,1.0418468992303795,,2.7842120954859415
18,2021-05-10,-0.9226458912577693,0.07877991911073605,,2.110237916077994
19,2021-05-17,-0.5775458728224889,-0.14832684223297965,6.059350404841682,1.6215499544597243
20,2021-05-24,1.3125395200931114,0.3510567968445849,5.658393154342826,1.56536623912034
21,2021-06-01,19.7000437333735,3.23329800449567,5.7971106501036065,4.862580328984551
