,Date,Percent_Change,SMA_10,SMA_20,EMA_10
0,2021-01-11,23.710234976870876,,,23.710234976870876
1,2021-01-19,27.68953427513133,,,24.433743940190958
2,2021-01-25,-1.5538180115014775,,,19.70873267624688
3,2021-02-01,4.975202325606413,,,17.02990897613043
4,2021-02-08,29.249185086260887,,,19.251595541608694
5,2021-02-16,32.62073438841431,,,21.682348059209716
6,2021-02-22,-6.784041403706668,,,16.506640884134008
7,2021-03-01,-11.586637762903612,,,11.398772039218075
8,2021-03-08,-16.130810360334102,,,6.393393421117679
9,2021-03-15,44.79582086244587,12.698540437628385,,13.375652955904624
10,2021-03-22,-9.81754781030736,9.34576215891056,,9.158707362047899
11,2021-03-29,-14.58529774412807,5.11827895698462,,4.841615524561359
12,2021-04-05,10.224173435832519,6.296078101718019,,5.820262417519752
