,Date,Percent_Change,SMA_10,SMA_20,EMA_10
0,2021-01-04,9.967735109125114,,,9.967735109125114
1,2021-01-11,24.378608502292664,,,12.587893907882851
2,2021-01-19,0.9031728878535134,,,10.463399176968426
3,2021-01-25,0.10721180423509029,,,8.580456018289636
4,2021-02-01,7.448220723179526,,,8.374595055542343
5,2021-02-08,34.93330382984029,,,13.203451196323789
6,2021-02-16,-7.272756194616401,,,9.480504397971027
7,2021-02-22,-13.932693336097893,,,5.22355935541304
8,2021-03-01,-4.790242600250613,,,3.402868090746921
9,2021-03-08,15.999642917000477,6.774220364256178,,5.693190786429385
10,2021-03-15,-2.289483659941575,5.548498487349508,,4.241795432543755
11,2021-03-22,-5.952505836470036,2.5153870534732383,,2.388286110904884
12,2021-03-29,2.9545397032075216,2.720523735008639,,2.491241309505363
13,2021-04-05,-2.781570635844983,2.4316454910006318,,1.5325482285325727
14,2021-04-12,-0.8921840504525573,1.5976050136374231,,1.0916878141716397
15,2021-04-19,-2.4953280154147306,-2.145258170888079,,0.4395031178832087
16,2021-04-26,-4.170539937091434,-1.8350365451355821,,-0.39868652847581726
17,2021-05-03,-6.263066209230868,-1.0680738324488797,,-1.4649373795221903
18,2021-05-10,-4.11911807977606,-1.0009613804014243,,-1.9475156886592573
19,2021-05-17,-2.37537260976783,-2.8384629330782554,1.9678787155889608,-2.025307856133543
20,2021-05-24,6.710433753139054,-1.938471191770192,1.805013647789658,-0.4369911999021614
21,2021-06-01,11.775607327640646,-0.165659875359124,1.1748635890570571,1.7834812596510763
