,Date,Percent_Change,SMA_10,SMA_20,EMA_10
0,2019-01-14,10.15042475910449,,,10.15042475910449
1,2019-01-22,0.07190266659532259,,,8.317966196830096
2,2019-01-28,0.8131024836815979,,,6.953445521712187
3,2019-02-04,4.8742122880714955,,,6.575403115595697
4,2019-02-11,1.9454250013338623,,,5.733588913002636
5,2019-02-19,-1.0853600715659812,,,4.493780006717433
6,2019-02-25,4.702059666829955,,,4.5316490358288
7,2019-03-04,-5.661087378377973,,,2.6784242332457504
8,2019-03-11,-0.7479530836413296,,,2.055446539266281
9,2019-03-18,4.135459602286904,1.9198185934318346,,2.4336307325427575
10,2019-03-25,-3.0315409880270527,0.60162201871868,,1.43996314698461
11,2019-04-01,-0.5378937828084916,0.5406423737782987,,1.0803527961131367
12,2019-04-08,7.854126626724276,1.2447447880825666,,2.3119480380424346
13,2019-04-15,1.6823427159860334,0.9255578308740203,,2.1974743431230888
14,2019-04-22,0.1515913998681774,0.7461744707274518,,1.8254956261676503
15,2019-04-29,-3.11438898633841,0.5432715792502089,,0.9273347875301847
16,2019-05-06,-3.5540032242780555,-0.28233470986059206,,0.11254605811050455
17,2019-05-13,-2.3256626011731703,0.05120776785988816,,-0.33076460721379997
18,2019-05-20,-0.30514301342104383,0.09548877488191676,,-0.326106135615117
19,2019-05-28,-0.9423153391693366,-0.4122887192637073,0.7537649370840636,-0.43814417262497507
20,2019-06-03,-0.807566531668456,-0.1898912736278476,0.2058653725454162,-0.5053118742692443
21,2019-06-10,6.436287822483118,0.5075268869013134,0.524084630339806,0.7567971615039126
22,2019-06-17,1.2855064561740417,-0.14933513015371006,0.5477048289644282,0.8529261241712087
23,2019-06-24,-9.14615403879586,-1.2321848056318996,-0.15331348737893954,-0.965088450913713
24,2019-07-01,1.4651508409368899,-1.1008288615250283,-0.17732719539878816,-0.5232267614863306
25,2019-07-08,1.595287864115223,-0.6298611764796649,-0.04329479861472797,-0.13804228410422992
26,2019-07-15,-5.119260885111769,-0.7863869425630362,-0.5343608262118142,-1.043718393378328
27,2019-07-22,-9.747870665910167,-1.5286077490367358,-0.738699990588424,-2.6262915338386623
28,2019-07-29,2.7136026359816485,-1.2267331840964666,-0.5656222046072751,-1.655401684780424
29,2019-08-05,-7.118885661536126,-1.8443902163331454,-1.1283394677984266,-2.648762407826915
30,2019-08-12,2.006056620410972,-1.5630279011252026,-0.8764595873765252,-1.8024316754200265
31,2019-08-19,3.3824274794223923,-1.8684139354312752,-0.680443524264981,-0.859730010903223
32,2019-08-26,-2.840303316324755,-2.280994912681155,-1.2151650214174325,-1.2198342482525923
33,2019-09-03,-0.5959803651116015,-1.4259775453127292,-1.3290811754723144,-1.1064062694996848
34,2019-09-09,10.364932992343709,-0.5359993301720472,-0.8184140958485377,0.9792917781082051
35,2019-09-16,-4.3956270773888475,-1.1350908243224542,-0.8824760004010598,0.002033804381468274
36,2019-09-23,0.3805948268664633,-0.585105253124631,-0.6857460978438338,0.07086308119692192
37,2019-09-30,-6.383972763803305,-0.24871546291394483,-0.8886616059753404,-1.1027434360758466
38,2019-10-07,-2.3231245725347915,-0.7523881837655889,-0.9895606839310277,-1.3246309154320184
39,2019-10-15,-2.624366349710158,-0.30293625258299206,-1.0736632344580688,-1.5609464489371345
40,2019-10-21,0.18332999961300162,-0.48520891466278904,-1.024118407893996,-1.2438052764734733
41,2019-10-28,3.8229619898675318,-0.4411554636182752,-1.1547846995247752,-0.3225748644114723
42,2019-11-04,-1.2214867023899458,-0.2792738022247942,-1.2801343574529747,-0.48601338040755837
43,2019-11-12,2.3887423369951124,0.019198467985877165,-0.7033895386634261,0.036669477302018194
44,2019-11-18,5.8014638351849666,-0.43714844772999706,-0.4865738889510222,1.0848139060080086
45,2019-11-25,-6.40479463225589,-0.6380652032167013,-0.8865780137695779,-0.276933100949064
46,2019-12-02,3.7657567978414086,-0.2995490061192069,-0.4423271296219191,0.4581014261037492
47,2019-12-09,4.746340969365159,0.8134823671976396,0.2823834521418472,1.237781343060369
48,2019-12-16,1.1438308502090977,1.1601779094720284,0.20389486285321964,1.2206994352692286
