,Date,Percent_Change,SMA_10,SMA_20,EMA_10
0,2021-01-11,5.448681708508118,,,5.448681708508118
1,2021-01-19,10.871182174887917,,,6.434590884213536
2,2021-01-25,1.233490698392564,,,5.488936304973359
3,2021-02-01,1.0184942172636493,,,4.676128652662502
4,2021-02-08,9.54059747184083,,,5.560577528876744
5,2021-02-16,10.1333512268832,,,6.391990928514281
6,2021-02-22,-2.1728704035332704,,,4.834743413596544
7,2021-03-01,-4.762535269926373,,,3.0897836529560134
8,2021-03-08,-3.473751868246059,,,1.896413558192
9,2021-03-15,12.566415187475354,4.040305514354593,,3.836413854425337
10,2021-03-22,-1.681700702631789,3.327267273240602,,2.8331202985967683
11,2021-03-29,-9.832391908609354,1.256909864890875,,0.5302998972865642
12,2021-04-05,2.537740769205946,1.3873348719722132,,0.8952891467264519
